순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,33121225810,4163666,사극,15세이상관람가,일반영화
2,극한직업,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,139647979516,16264944,31858660536,3638287,코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115698654137,14410754,27530825087,3346172,판타지,12세이상관람가,일반영화
4,국제시장,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,25842519330,3233946,드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122182694160,13934592,33577136860,3597963,액션,12세이상관람가,일반영화
6,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,114810421450,13747792,28824682580,3225974,애니메이션,전체관람가,일반영화
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17,개봉영화,장편,미국,912,128447097523,13624328,40547523000,3993374,SF,12세이상관람가,독립/예술영화
8,베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,일반영화
9,괴물,봉준호,영화사청어람(주),,(주)쇼박스,2006-07-27,개봉영화,장편,한국,0,0,13019740,0,3571254,SF,12세관람가,일반영화
10,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,일반영화
11,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,일반영화
12,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,일반영화
13,범죄도시2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,2498,131293353478,12692959,29072759869,2755760,범죄,15세이상관람가,일반영화
14,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,106983620359,12555894,30218911039,3377404,어드벤처,전체관람가,일반영화
15,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",,(주)씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,일반영화
16,왕의 남자,이준익,"(주)씨네월드,(주)이글픽쳐스",,(주)시네마서비스,2005-12-29,개봉영화,장편,한국,0,0,12302831,0,3660842,드라마,15세이상관람가,일반영화
17,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,102476768809,12253247,22905551759,2636542,판타지,12세이상관람가,일반영화
18,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,22186916199,2729932,드라마,15세이상관람가,일반영화
19,태극기 휘날리며,강제규,강제규필름,,"(주)다자인소프트,(주)쇼박스",2004-02-05,개봉영화,장편,한국,0,0,11746135,0,3509563,전쟁,15세관람가,일반영화
20,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화
21,해운대,윤제균,(주)제이케이필름,,CJ ENM,2009-07-22,개봉영화,장편,한국,753,81934638201,11453338,21141403500,2791508,액션,12세이상관람가,일반영화
22,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,22571929000,2978688,드라마,15세이상관람가,일반영화
23,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,28631269069,3008819,액션,12세이상관람가,일반영화
