,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
0,명량,김한민,(주)씨제이이엔엠,2014-07-30,장편,한국,1587,135748398910,17613682,사극,15세관람가,일반영화,2014,7,여름
1,극한직업,이병헌,(주)씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516,16264944,코미디,15세관람가,일반영화,2019,1,겨울
2,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,장편,한국,1912,115698654137,14410754,판타지,12세관람가,일반영화,2017,12,겨울
3,국제시장,윤제균,(주)씨제이이엔엠,2014-12-17,장편,한국,966,110828014630,14245998,드라마,12세관람가,일반영화,2014,12,겨울
4,어벤져스: 엔드게임,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,장편,미국,2835,122182694160,13934592,액션,12세관람가,일반영화,2019,4,봄
5,겨울왕국 2,제니퍼 리,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,장편,미국,2648,114810421450,13747792,애니메이션,전체관람가,일반영화,2019,11,가을
6,아바타,제임스 카메론,주식회사 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,SF,12세관람가,독립/예술영화,2009,12,겨울
7,베테랑,류승완,(주)씨제이이엔엠,2015-08-05,장편,한국,1064,105024756250,13395400,액션,15세관람가,일반영화,2015,8,여름
8,도둑들,최동훈,(주)쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,액션,15세관람가,일반영화,2012,7,여름
9,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,장편,한국,787,91431914670,12811206,코미디,15세관람가,일반영화,2013,1,겨울
10,암살,최동훈,(주)쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,액션,15세관람가,일반영화,2015,7,여름
11,범죄도시2,이상용,주식회사 에이비오엔터테인먼트,2022-05-18,장편,한국,2498,131293353478,12692959,범죄,15세관람가,일반영화,2022,5,봄
