,0,1
0,253,1st
1,253,2nd
2,329,2nd
3,444,1st
4,444,1st
5,444,1st
6,444,1st
7,444,1st
8,444,1st
9,444,1st
10,444,2nd
11,458,검색 불가
12,613,2nd
13,672,검색 불가
14,744,1st
15,744,1st
16,744,1st
17,744,2nd
18,752,검색 불가
19,772,검색 불가
20,838,2nd
21,968,3rd
22,1050,2nd
23,1082,2nd
24,1094,2nd
25,1135,검색 불가
26,1137,2nd
27,1188,검색 불가
28,1251,검색 불가
29,1335,검색 불가
30,1352,2nd
31,1368,검색 불가
32,1393,검색 불가
33,1425,검색 불가
34,1469,검색 불가
35,1485,검색 불가
36,1494,검색 불가
37,1502,검색 불가
38,1545,1st
39,1545,1st
40,1580,검색 불가
41,1604,검색 불가
42,1620,검색 불가
43,1648,2nd
44,1672,2nd
45,1684,검색 불가
46,1686,검색 불가
47,1729,검색 불가
48,1732,검색 불가
49,1758,검색 불가
50,1759,검색 불가
51,1760,1st
52,1760,2nd
53,1781,1st
54,1781,1st
55,1781,1st
56,1799,검색 불가
57,1801,검색 불가
58,1831,검색 불가
59,1851,검색 불가
60,1867,검색 불가
61,1869,1st
62,1869,2nd
63,1870,1st
64,1870,1st
65,1870,1st
66,1870,2nd
67,1885,검색 불가
68,1913,검색 불가
69,1925,검색 불가
70,1928,검색 불가
71,1939,검색 불가
72,1967,검색 불가
73,1970,검색 불가
74,1990,2nd
75,1997,1st
76,1997,3rd
77,2024,1st
78,2024,1st
79,2024,2nd
80,2029,검색 불가
81,2035,3rd
82,2069,검색 불가
83,2093,검색 불가
84,2094,2nd
85,2098,검색 불가
86,2099,2nd
87,2121,검색 불가
88,2156,1st
89,2156,1st
90,2156,3rd
91,2195,2nd
92,2220,검색 불가
93,2221,검색 불가
94,2269,검색 불가
95,2275,검색 불가
96,2278,검색 불가
97,2299,2nd
98,2311,검색 불가
99,2331,검색 불가
100,2335,검색 불가
101,2337,검색 불가
102,2346,검색 불가
103,2355,검색 불가
104,2375,3rd
105,2383,검색 불가
106,2419,1st
107,2419,1st
108,2419,1st
109,2419,1st
110,2419,1st
