,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도
22,어벤져스: 인피니티 워,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,"28,631,269,069","3,008,819",액션,12세관람가,일반영화,2018
191,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,장편,미국,1257,30504689978,3689325,"7,851,059,428","909,202",액션,15세관람가,일반영화,2017
212,아일랜드,마이클 베이,워너브러더스 코리아(주),2005-07-21,장편,미국,0,0,3433900,0,"1,285,400",SF,12세관람가,일반영화,2005
264,마더,봉준호,(주)씨제이이엔엠,2009-05-28,장편,한국,648,20195373838,3013523,"7,430,891,000","1,060,010",드라마,청소년관람불가,일반영화,2009
287,표적,창,(주)씨제이이엔엠,2014-04-30,장편,한국,665,22256359300,2841788,"5,348,606,900","652,750",액션,15세관람가,일반영화,2014
307,나우 유 씨 미 : 마술사기단,루이스 리테리어,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,장편,미국,691,19146691869,2718227,"6,322,143,282","855,244",범죄,12세관람가,일반영화,2013
312,타이탄,루이스 리테리어,워너브러더스 코리아(주),2010-04-01,장편,미국,694,22143097429,2685508,"6,821,236,500","798,779",액션,12세관람가,일반영화,2010
332,퍼시픽 림,길예르모 델 토로,워너브러더스 코리아(주),2013-07-11,장편,미국,1005,20477392512,2539114,"6,769,401,012","776,183",액션,12세관람가,일반영화,2013
412,원더 우먼,팻티 젠킨스,워너브러더스 코리아(주),2017-05-31,장편,미국,1034,17468588886,2165401,"5,360,314,986","639,541",액션,12세관람가,일반영화,2017
421,사랑,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2007-09-19,장편,한국,0,0,2123815,0,"547,926",멜로/로맨스,15세관람가,일반영화,2007
440,뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,장편,한국,648,16152717131,2053947,"5,031,538,031","611,979",판타지,12세관람가,일반영화,2015
467,가족,이정철,(주)튜브엔터테인먼트,2004-09-03,장편,한국,0,0,1932304,0,"545,909",드라마,15세관람가,일반영화,2004
473,영웅,장예모,(유)조이앤시네마,2003-01-24,장편,중국,0,0,1910000,0,"795,000",사극,12세관람가,일반영화,2003
486,아이들...,이규만,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,장편,한국,504,13562608500,1864408,"3,413,341,000","443,026",범죄,15세관람가,일반영화,2011
552,마다가스카의 펭귄,사이몬 J.스미스,(주)씨제이이엔엠,2014-12-31,장편,미국,615,12498978959,1661230,"3,023,319,659","382,230",애니메이션,전체관람가,일반영화,2014
599,작전,이호재,(주)쇼박스,2009-02-12,장편,한국,393,10198304795,1534407,"3,071,680,000","441,745",범죄,15세관람가,일반영화,2009
618,어스,조던 필,유니버설픽쳐스인터내셔널 코리아(유),2019-03-27,장편,미국,1132,12586771104,1475087,"4,105,738,924","463,806",공포(호러),15세관람가,일반영화,2019
