순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
22,어벤져스: 인피니티 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136315,https://ssl.pstatic.net/imgmovie/mdi/mit110/1363/136315_P16_142450.jpg,2018,"['앤서니 루소', '조 루소']","['크리스 프랫', '조 샐다나', '브래들리 쿠퍼', '빈 디젤', '조슈 브롤린', '엘리자베스 올슨', '베네딕트 컴버배치', '스칼릿 조핸슨', '톰 홀랜드', '로버트 다우니 주니어', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '톰 히들스턴', '폴 베타니', '돈 치들', '채드윅 보스만', '데이브 바티스타', '안소니 마키']",8.97
191,미이라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120160,https://ssl.pstatic.net/imgmovie/mdi/mit110/1201/120160_P31_100857.jpg,2017,['알렉스 커츠만'],"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']",7.24
212,아일랜드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179332,https://ssl.pstatic.net/imgmovie/mdi/mit110/1793/179332_P12_174351.jpg,2018,['황보'],"['황보', '서기', '레이']",7.25
264,마더,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223016,https://ssl.pstatic.net/imgmovie/mdi/mit110/2230/223016_P01_143000.jpg,2022,['조니차 소피아'],,0.00
287,표적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=209760,https://ssl.pstatic.net/imgmovie/mdi/mit110/2097/209760_P04_101617.jpg,2021,['니시지마 신지'],,0.00
307,나우 유 씨 미 : 마술사기단,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92011,https://ssl.pstatic.net/imgmovie/mdi/mit110/0920/92011_P41_140458.jpg,2013,['루이스 리터리어'],"['우디 해럴슨', '제시 아이젠버그', '마크 러팔로', '멜라니 로랑']",8.05
312,타이탄,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163473,https://ssl.pstatic.net/imgmovie/mdi/mit110/1634/163473_P01_174047.jpg,2017,['요하네스 프레제'],,0.00
332,퍼시픽 림,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86867,https://ssl.pstatic.net/imgmovie/mdi/mit110/0868/86867_P50_121640.jpg,2013,['기예르모 델 토로'],"['찰리 허냄', '론 펄먼', '이드리스 엘바', '찰리 데이', '키쿠치 린코']",7.68
412,원더 우먼,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19233,https://ssl.pstatic.net/imgmovie/mdi/mit110/0192/A9233-01.jpg,1974,['빈센트 맥에비티'],"['캐시 리 크로스비', '애니트라 포드', '카즈 가라스', '리카르도 몬탈반']",7.00
421,사랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222827,https://ssl.pstatic.net/imgmovie/mdi/mit110/2228/222827_P01_121949.jpg,2022,['알베르토 올리비아'],,0.00
440,뷰티 인사이드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1290/129050_P112_100230.jpg,2015,['백종열'],"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
467,가족,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224471,,2020,['김채린'],,0.00
473,영웅,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184509,https://ssl.pstatic.net/imgmovie/mdi/mit110/1845/184509_P59_145214.jpg,2022,['윤제균'],"['정성화', '김고은', '나문희', '조재윤', '배정남', '이현우', '박진주']",8.98
486,아이들...,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219121,https://ssl.pstatic.net/imgmovie/mdi/mit110/2191/219121_P01_143139.jpg,2022,['파질라 아미리'],,0.00
