,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
6,아바타,주식회사 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,SF,12세관람가,독립/예술영화,제임스 카메론
8,도둑들,(주)쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,액션,15세관람가,일반영화,최동훈
10,암살,(주)쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,액션,15세관람가,일반영화,최동훈
19,어벤져스: 인피니티 워,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,액션,12세관람가,일반영화,안소니 루소
23,겨울왕국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화,제니퍼 리
35,백두산,(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,어드벤처,12세관람가,일반영화,김병서
47,써니,(주)씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,드라마,15세관람가,일반영화,강형철
49,스파이더맨: 홈 커밍,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,액션,12세관람가,일반영화,존 왓츠
51,베를린,(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,액션,15세관람가,일반영화,류승완
52,마스터,(주)씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,액션,15세관람가,일반영화,조의석
54,어벤져스,월트디즈니컴퍼니코리아 유한책임회사,2012-04-26,장편,미국,967,59557853478,7074867,액션,12세관람가,일반영화,조스 웨던
58,럭키,(주)쇼박스,2016-10-13,장편,한국,1158,56361435256,6965706,코미디,15세관람가,일반영화,이계벽
67,아저씨,CJ ENM,2010-08-04,장편,한국,478,47870792359,6282774,액션,청소년관람불가,일반영화,이정범
76,캡틴 마블,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,장편,미국,2100,51491272223,5801069,액션,12세관람가,일반영화,라이언 플렉
79,숨바꼭질,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,허정
84,감시자들,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,장편,한국,949,39298005179,5496547,범죄,15세관람가,일반영화,김병서
85,2012,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,장편,미국,789,39415166660,5462953,SF,12세관람가,일반영화,롤랜드 에머리히
91,더 킹,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,장편,한국,1310,43486078535,5316325,범죄,15세관람가,일반영화,한재림
96,월드 워 Z,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,장편,미국,964,38555357000,5237525,드라마,15세관람가,일반영화,마크 포스터
97,타워,(주)씨제이이엔엠,2012-12-25,장편,한국,617,37654858000,5181014,드라마,12세관람가,일반영화,김지훈
99,추격자,(주)쇼박스,2008-02-14,장편,한국,435,33943278500,5071619,범죄,청소년관람불가,일반영화,나홍진
117,주토피아,월트디즈니컴퍼니코리아(주),2016-02-17,장편,미국,661,37077444042,4703245,애니메이션,전체관람가,일반영화,리치 무어
119,신세계,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,장편,한국,671,34881330905,4682492,범죄,청소년관람불가,일반영화,박훈정
137,아가씨,(주)씨제이이엔엠,2016-06-01,장편,한국,1171,35114332791,4277071,스릴러,청소년관람불가,일반영화,박찬욱
144,다크 나이트,주식회사 해리슨앤컴퍼니,2008-08-06,장편,미국,462,27059471306,4087355,범죄,15세관람가,일반영화,크리스토퍼 놀란
164,미이라,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,장편,미국,1257,30504689978,3689325,액션,15세관람가,일반영화,알렉스 커츠먼
170,인턴,워너브러더스 코리아(주),2015-09-24,장편,미국,496,28518443148,3610642,코미디,12세관람가,일반영화,낸시 마이어스
179,스파이,(주)씨제이이엔엠,2013-09-05,장편,한국,785,24436429305,3423920,액션,15세관람가,일반영화,이승준
183,돈,(주)쇼박스,2019-03-20,장편,한국,1431,28869614062,3389035,범죄,15세관람가,일반영화,박누리
197,마녀,워너브러더스 코리아(주),2018-06-27,장편,한국,1117,27242029463,3189091,미스터리,15세관람가,일반영화,박훈정
204,하모니,CJ ENM,2010-01-28,장편,한국,405,21992266198,3068544,드라마,12세관람가,일반영화,강대규
212,마더,CJ ENM,2009-05-28,장편,한국,648,20195373838,3013523,드라마,청소년관람불가,일반영화,봉준호
217,형,(주)씨제이이엔엠,2016-11-23,장편,한국,993,23129111893,2982022,코미디,12세관람가,일반영화,권수경
218,친구 2,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,장편,한국,968,21804687513,2971475,액션,청소년관람불가,일반영화,곽경택
221,서치,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-29,장편,미국,816,25283364845,2949944,드라마,12세관람가,일반영화,아니쉬 차간티
224,프리즌,(주)쇼박스,2017-03-23,장편,한국,1047,23790276987,2931897,범죄,청소년관람불가,일반영화,나현
225,솔트,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,장편,미국,556,21719123025,2921331,스릴러,15세관람가,일반영화,필립 노이스
228,원티드,유니버설픽쳐스인터내셔널 코리아(유),2008-06-26,장편,미국,446,19258777000,2867594,스릴러,청소년관람불가,일반영화,티무르 베크맘베토브
230,표적,(주)씨제이이엔엠,2014-04-30,장편,한국,665,22256359300,2841788,액션,15세관람가,일반영화,창
249,나우 유 씨 미 : 마술사기단,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,장편,미국,691,19146691869,2718227,범죄,12세관람가,일반영화,루이스 리테리어
254,타이탄,워너브러더스 코리아(주),2010-04-01,장편,미국,694,22143097429,2685508,액션,12세관람가,일반영화,루이스 리테리어
256,소원,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,장편,한국,641,18251983100,2663170,드라마,12세관람가,일반영화,이준익
272,퍼시픽 림,워너브러더스 코리아(주),2013-07-11,장편,미국,1005,20477392512,2539114,액션,12세관람가,일반영화,길예르모 델 토로
292,테이큰,㈜스튜디오이쩜영,2008-04-09,장편,프랑스,254,15971389000,2379830,범죄,청소년관람불가,일반영화,피에르 모렐
295,블라인드,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,장편,한국,404,18361430500,2362906,스릴러,청소년관람불가,일반영화,안상훈
299,스파이,이십세기폭스코리아(주),2015-05-21,장편,미국,665,18396836358,2315882,액션,15세관람가,일반영화,폴 페이그
302,하녀,(주)싸이더스,2010-05-13,장편,한국,577,17310669976,2304487,스릴러,청소년관람불가,일반영화,임상수
307,나잇&데이,이십세기폭스코리아(주),2010-06-24,장편,미국,501,17054262425,2282191,액션,15세관람가,일반영화,제임스 맨골드
309,컨저링,워너브러더스 코리아(주),2013-09-17,장편,미국,553,16353225777,2262758,공포(호러),15세관람가,일반영화,제임스 완
328,원더 우먼,워너브러더스 코리아(주),2017-05-31,장편,미국,1034,17468588886,2165401,액션,12세관람가,일반영화,팻티 젠킨스
333,마이 웨이,에스케이플래닛(주),2011-12-21,장편,한국,645,15994803000,2142622,전쟁,15세관람가,일반영화,강제규
