순번,영화명,네이버URL,이미지URL,감독,출연,평점
0,어벤져스: 에이지 오브 울트론,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98438,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98438_P26_100556.jpg,['조스 웨던'],"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']",8.32
1,아바타: 물의 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74977,https://ssl.pstatic.net/imgmovie/mdi/mit110/0749/74977_P61_170924.jpg,['제임스 카메론'],"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']",8.65
2,기생충,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,['봉준호'],"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']",8.49
3,겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100931_P98_151621.jpg,"['크리스 벅', '제니퍼 리']","['크리스틴 벨', '이디나 멘젤']",9.13
4,인터스텔라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45290,https://ssl.pstatic.net/imgmovie/mdi/mit110/0452/45290_P59_104735.jpg,['크리스토퍼 놀란'],"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']",9.11
5,보헤미안 랩소디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,['브라이언 싱어'],"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']",9.42
6,검사외전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1309/130903_P29_133940.jpg,['이일형'],"['황정민', '강동원']",7.94
7,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,['이상근'],"['조정석', '윤아']",8.31
8,관상,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0937/93728_P30_160517.jpg,['한재림'],"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
9,아이언맨 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70254,https://ssl.pstatic.net/imgmovie/mdi/mit110/0702/70254_P35_153229.jpg,['셰인 블랙'],"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']",8.86
10,설국열차,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62328,https://ssl.pstatic.net/imgmovie/mdi/mit110/0623/62328_P30_110120.jpg,['봉준호'],"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
11,캡틴 아메리카: 시빌 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122527,https://ssl.pstatic.net/imgmovie/mdi/mit110/1225/122527_P18_114355.jpg,"['앤서니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']",8.67
12,수상한 그녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107924,https://ssl.pstatic.net/imgmovie/mdi/mit110/1079/107924_P51_110532.jpg,['황동혁'],"['심은경', '나문희', '박인환', '성동일', '이진욱']",9.01
13,해적: 바다로 간 산적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102817_P23_104252.jpg,['이석훈'],"['김남길', '손예진']",8.28
14,국가대표,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47385,https://ssl.pstatic.net/imgmovie/mdi/mit110/0473/47385_P00_185924.jpg,['김용화'],"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']",9.13
15,백두산,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187940,https://ssl.pstatic.net/imgmovie/mdi/mit110/1879/187940_P47_164605.jpg,"['이해준', '김병서']","['이병헌', '하정우', '마동석', '전혜진', '수지']",5.74
16,과속스캔들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51143,https://ssl.pstatic.net/imgmovie/mdi/mit110/0511/E1143-00.jpg,['강형철'],"['차태현', '박보영', '왕석현']",9.20
17,탑건: 매버릭,https://movie.naver.com/movie/bi/mi/basic.nhn?code=81888,https://ssl.pstatic.net/imgmovie/mdi/mit110/0818/81888_P12_163834.jpg,['조셉 코신스키'],"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']",9.76
18,스파이더맨: 파 프롬 홈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,['존 왓츠'],"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']",8.33
19,공조,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142384,https://ssl.pstatic.net/imgmovie/mdi/mit110/1423/142384_P105_134336.jpg,['김성훈'],"['현빈', '유해진', '김주혁']",8.26
