순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
0,스파이더맨: 홈커밍,https://movie.naver.com/movie/bi/mi/basic.nhn?code=135874,https://ssl.pstatic.net/imgmovie/mdi/mit110/1358/135874_P11_162921.jpg,2017,['존 왓츠'],"['톰 홀랜드', '마이클 키튼']",8.35
1,월드워Z,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51777,https://ssl.pstatic.net/imgmovie/mdi/mit110/0517/51777_P39_121351.jpg,2013,['마크 포스터'],"['브래드 피트', '미레유 에노스']",8.24
3,친구2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103271,https://ssl.pstatic.net/imgmovie/mdi/mit110/1032/103271_P18_144210.jpg,2013,['곽경택'],"['유오성', '주진모', '김우빈']",6.20
5,마이웨이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71628,https://ssl.pstatic.net/imgmovie/mdi/mit110/0716/71628_P02_163941.jpg,2011,['강제규'],"['장동건', '오다기리 죠', '판빙빙']",7.20
7,무방비 도시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68046,https://ssl.pstatic.net/imgmovie/mdi/mit110/0680/F8046-00.jpg,2007,['이상기'],"['김명민', '손예진', '김해숙']",7.56
8,원스 어폰 어 타임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69207,https://ssl.pstatic.net/imgmovie/mdi/mit110/0692/F9207-01.jpg,2008,['정용기'],"['박용우', '이보영']",7.99
10,예스 맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45944,https://ssl.pstatic.net/imgmovie/mdi/mit110/0459/D5944-00.jpg,2008,['페이튼 리드'],"['짐 캐리', '주이 디샤넬']",8.85
16,슈퍼배드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73339,https://ssl.pstatic.net/imgmovie/mdi/mit110/0733/73339_P00_111216.jpg,2010,"['피에르 꼬팽', '크리스 리노드']","['스티브 카렐', '태연', '서현', '미란다 코스그로브', '다나 가이어']",9.00
18,스카이라인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76581,https://ssl.pstatic.net/imgmovie/mdi/mit110/0765/76581_P11_112352.jpg,2010,"['콜린 스트로즈', '그렉 스트로즈']","['에릭 벌포', '스카티 톰슨']",6.27
19,헝거게임:모킹제이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100644,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100644_P39_113539.jpg,2014,['프란시스 로렌스'],"['제니퍼 로렌스', '리암 헴스워스', '줄리안 무어', '조쉬 허처슨', '필립 세이모어 호프만', '우디 해럴슨', '엘리자베스 뱅크스', '제프리 라이트', '스탠리 투치', '도날드 서덜랜드', '윌로우 쉴즈', '샘 클라플린', '지나 말론', '마허샬라 알리']",7.55
20,마린 보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49216,https://ssl.pstatic.net/imgmovie/mdi/mit110/0492/D9216-01.jpg,2008,['윤종석'],"['김강우', '조재현', '박시연']",6.65
21,마음이 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73096,https://ssl.pstatic.net/imgmovie/mdi/mit110/0730/73096_P47_125417.jpg,2010,['이정철'],"['달이', '성동일', '김정태', '송중기', '장한']",8.58
22,국가대표2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141824,https://ssl.pstatic.net/imgmovie/mdi/mit110/1418/141824_P99_095923.jpg,2016,['김종현'],"['수애', '오달수', '오연서']",8.64
23,다찌마와 리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31488,https://ssl.pstatic.net/imgmovie/mdi/mit110/0314/C1488-00.jpg,2000,['류승완'],"['임원희', '이윤성', '한승희']",7.43
24,도라에몽:스탠바이미,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127901,https://ssl.pstatic.net/imgmovie/mdi/mit110/1279/127901_P53_134431.jpg,2014,"['야기 류이치', '야마자키 다카시']","['미즈타 와사비', '오오하라 메구미', '카카즈 유미', '키무라 스바루', '세키 토모카즈', '츠마부키 사토시']",8.77
26,페이스 메이커,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83098,https://ssl.pstatic.net/imgmovie/mdi/mit110/0830/83098_P161_112730.jpg,2012,['김달중'],"['김명민', '안성기', '고아라', '최태준']",8.84
34,노크: 낯선 자들의 방문,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49004,https://ssl.pstatic.net/imgmovie/mdi/mit110/0490/D9004-00.jpg,2008,['브라이언 버티노'],"['스코트 스피드먼', '리브 타일러', '젬마 워드', '로라 마골리스']",5.00
38,다크 아워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=82253,https://ssl.pstatic.net/imgmovie/mdi/mit110/0822/82253_P06_135752.jpg,2011,['크리스 고락'],"['에밀 허쉬', '올리비아 썰비', '조엘 킨나만']",5.82
41,히든카드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98404,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98404_P25_152454.jpg,2013,['브래드 퍼맨'],"['벤 애플렉', '젬마 아터튼', '저스틴 팀버레이크']",6.09
42,웨딩 드레스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53158,https://ssl.pstatic.net/imgmovie/mdi/mit110/0531/53158_P23_090322.jpg,2009,['권형진'],"['송윤아', '김향기']",9.10
49,스타 워즈: 클론 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49821,https://ssl.pstatic.net/imgmovie/mdi/mit110/0498/D9821-00.jpg,2008,['데이브 필로니'],"['맷 랜터', '사무엘 L. 잭슨', '이안 아베크롬비', '코리 버튼', '톰 케인', '제임스 아놀드 테일러', '캐서린 타버']",7.51
54,9: 나인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52526,https://ssl.pstatic.net/imgmovie/mdi/mit110/0525/52526_P15_101816.jpg,2009,['쉐인 액커'],"['일라이저 우드', '존 C. 라일리', '제니퍼 코넬리', '크리스핀 글로버', '마틴 랜도', '크리스토퍼 플러머']",7.76
58,원챈스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113163,https://ssl.pstatic.net/imgmovie/mdi/mit110/1131/113163_P44_174922.jpg,2013,['데이빗 프랭클'],"['제임스 코든', '알렉산드라 로치', '콤 미니', '제미마 루퍼']",8.34
66,살인 소설,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92415,https://ssl.pstatic.net/imgmovie/mdi/mit110/0924/92415_P19_160649.jpg,2012,['스콧 데릭슨'],['에단 호크'],7.14
70,심야식당2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156091,https://ssl.pstatic.net/imgmovie/mdi/mit110/1560/156091_P11_152424.jpg,2016,['마츠오카 조지'],['코바야시 카오루'],8.54
92,크리드 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163798,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163798_P02_154522.jpg,2018,['스티븐 카플 주니어'],"['마이클 B. 조던', '실베스터 스탤론']",8.68
94,나이트 폴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93068,https://ssl.pstatic.net/imgmovie/mdi/mit110/0930/93068_P24_140414.jpg,2012,['주현량'],"['장가휘', '임달화']",8.06
104,블러드타이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100984_P30_100418.jpg,2013,['기욤 까네'],"['마리옹 꼬띠아르', '밀라 쿠니스', '클라이브 오웬', '조 샐다나', '빌리 크루덥']",7.81
