,0,1,2,3,4,5,6,7
0,2,신과함께-죄와 벌,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85579,https://ssl.pstatic.net/imgmovie/mdi/mit110/0855/85579_P158_140854.jpg,2017,['김용화'],"['하정우', '차태현', '주지훈', '김향기', '김동욱', '마동석']",7.83
1,3,국제시장,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102875_P42_100733.jpg,2014,['윤제균'],"['황정민', '김윤진', '오달수', '정진영']",9.02
2,4,어벤져스: 엔드게임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,2019,"['앤서니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스', '마크 러팔로', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']",9.38
3,5,겨울왕국 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136873,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136873_P18_100537.jpg,2019,"['크리스 벅', '제니퍼 리']","['크리스틴 벨', '이디나 멘젤']",8.69
4,9,7번방의 선물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94775,https://ssl.pstatic.net/imgmovie/mdi/mit110/0947/94775_P00_102022.jpg,2012,['이환경'],"['류승룡', '박신혜', '갈소원', '오달수', '박원상', '김정태', '정만식', '김기천']",8.83
5,11,범죄도시2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=192608,https://ssl.pstatic.net/imgmovie/mdi/mit110/1926/192608_P62_104337.jpg,2022,['이상용'],"['마동석', '손석구', '최귀화']",9.30
6,13,"광해, 왕이 된 남자",https://movie.naver.com/movie/bi/mi/basic.nhn?code=83893,https://ssl.pstatic.net/imgmovie/mdi/mit110/0838/83893_P09_112146.jpg,2012,['추창민'],"['이병헌', '류승룡', '한효주']",9.25
7,14,신과함께-인과 연,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167697,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167697_P114_141010.jpg,2017,['김용화'],"['하정우', '주지훈', '김향기', '마동석', '김동욱']",7.71
8,20,어벤져스: 에이지 오브 울트론,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98438,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98438_P26_100556.jpg,2015,['조스 웨던'],"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']",8.32
9,21,아바타: 물의 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74977,https://ssl.pstatic.net/imgmovie/mdi/mit110/0749/74977_P61_170924.jpg,2022,['제임스 카메론'],"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']",8.65
10,25,보헤미안 랩소디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,2018,['브라이언 싱어'],"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']",9.42
11,26,검사외전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1309/130903_P29_133940.jpg,2015,['이일형'],"['황정민', '강동원']",7.94
12,29,아이언맨 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70254,https://ssl.pstatic.net/imgmovie/mdi/mit110/0702/70254_P35_153229.jpg,2013,['셰인 블랙'],"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']",8.86
13,30,설국열차,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62328,https://ssl.pstatic.net/imgmovie/mdi/mit110/0623/62328_P30_110120.jpg,2013,['봉준호'],"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
14,31,캡틴 아메리카: 시빌 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122527,https://ssl.pstatic.net/imgmovie/mdi/mit110/1225/122527_P18_114355.jpg,2016,"['앤서니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']",8.67
15,33,해적: 바다로 간 산적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102817_P23_104252.jpg,2014,['이석훈'],"['김남길', '손예진']",8.28
16,37,탑건: 매버릭,https://movie.naver.com/movie/bi/mi/basic.nhn?code=81888,https://ssl.pstatic.net/imgmovie/mdi/mit110/0818/81888_P12_163834.jpg,2021,['조셉 코신스키'],"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']",9.76
17,38,스파이더맨: 파 프롬 홈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,2019,['존 왓츠'],"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']",8.33
18,42,미션 임파서블 : 고스트 프로토콜,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53372,https://ssl.pstatic.net/imgmovie/mdi/mit110/0533/53372_P12_111230.jpg,2011,['브래드 버드'],"['톰 크루즈', '제레미 레너']",8.74
19,46,최종병기 활,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83084,https://ssl.pstatic.net/imgmovie/mdi/mit110/0830/83084_P35_175118.jpg,2011,['김한민'],"['박해일', '류승룡', '김무열', '문채원']",7.87
20,57,공조2: 인터내셔날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=201641,https://ssl.pstatic.net/imgmovie/mdi/mit110/2016/201641_P41_135910.jpg,2021,['이석훈'],"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']",8.32
21,59,은밀하게 위대하게,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92575,https://ssl.pstatic.net/imgmovie/mdi/mit110/0925/92575_P12_175811.jpg,2013,['장철수'],"['김수현', '박기웅', '이현우', '손현주']",7.12
22,60,곡성(哭聲),https://movie.naver.com/movie/bi/mi/basic.nhn?code=121051,https://ssl.pstatic.net/imgmovie/mdi/mit110/1210/121051_P54_135612.jpg,2016,['나홍진'],"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']",7.62
23,62,"좋은 놈, 나쁜 놈, 이상한 놈",https://movie.naver.com/movie/bi/mi/basic.nhn?code=65674,https://ssl.pstatic.net/imgmovie/mdi/mit110/0656/65674_P01_103507.jpg,2008,['김지운'],"['송강호', '이병헌', '정우성']",7.74
24,64,군함도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146506,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146506_P137_112144.jpg,2017,['류승완'],"['황정민', '소지섭', '송중기', '이정현', '김수안']",5.30
25,65,미션 임파서블: 폴아웃,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154222,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154222_P07_114856.jpg,2018,['크리스토퍼 맥쿼리'],"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']",9.12
