,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
0,6,아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=84024,https://ssl.pstatic.net/imgmovie/mdi/mit110/0840/84024_P01_163324.jpg,2011,['와다 아츠시'],"['사노 카즈마', '미즈사와 나코', '하시모토 아이', '사카타 리카코', '하네유리']",7.86
1,6,아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,https://ssl.pstatic.net/imgmovie/mdi/mit110/0622/62266_P115_110943.jpg,2009,['제임스 카메론'],"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']",9.08
2,8,괴물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162767,https://ssl.pstatic.net/imgmovie/mdi/mit110/1627/162767_P00_101648.jpg,2017,['로렌 브레방'],,0.00
3,8,괴물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39841,https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/39841_P03_231710.jpg,2006,['봉준호'],"['송강호', '변희봉', '박해일', '배두나', '고아성']",8.63
4,31,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=203021,https://ssl.pstatic.net/imgmovie/mdi/mit110/2030/203021_P01_105452.jpg,2020,['이반 바소브'],,0.00
5,31,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,2019,['이상근'],"['조정석', '윤아']",8.31
6,54,써니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=212745,https://ssl.pstatic.net/imgmovie/mdi/mit110/2127/212745_P01_171310.jpg,2021,['새미 고얄'],,0.00
7,54,써니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76016,https://ssl.pstatic.net/imgmovie/mdi/mit110/0760/76016_P11_175820.jpg,2011,['강형철'],"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
8,60,마스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213035,https://ssl.pstatic.net/imgmovie/mdi/mit110/2130/213035_P01_101133.jpg,2022,['마리아마 디알로'],,0.00
9,60,마스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145162,https://ssl.pstatic.net/imgmovie/mdi/mit110/1451/145162_P45_131834.jpg,2016,['조의석'],"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11
10,61,터널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=199913,https://ssl.pstatic.net/imgmovie/mdi/mit110/1999/199913_P01_164456.jpg,2020,['김유진'],,0.00
11,61,터널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1411/141104_P59_134853.jpg,2016,['김성훈'],"['하정우', '배두나', '오달수']",8.37
12,66,럭키,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187415,https://ssl.pstatic.net/imgmovie/mdi/mit110/1874/187415_P01_135801.jpg,2018,['조정란'],"['신용우', '이장원', '조현정', '최낙윤']",10.00
