,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점,연도
1,6,아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,https://ssl.pstatic.net/imgmovie/mdi/mit110/0622/62266_P115_110943.jpg,2009,['제임스 카메론'],"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']",9.08,2009
3,8,괴물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39841,https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/39841_P03_231710.jpg,2006,['봉준호'],"['송강호', '변희봉', '박해일', '배두나', '고아성']",8.63,2006
5,31,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,2019,['이상근'],"['조정석', '윤아']",8.31,2019
7,54,써니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76016,https://ssl.pstatic.net/imgmovie/mdi/mit110/0760/76016_P11_175820.jpg,2011,['강형철'],"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12,2011
10,60,마스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145162,https://ssl.pstatic.net/imgmovie/mdi/mit110/1451/145162_P45_131834.jpg,2016,['조의석'],"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11,2016
13,61,터널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1411/141104_P59_134853.jpg,2016,['김성훈'],"['하정우', '배두나', '오달수']",8.37,2016
17,70,타짜,https://movie.naver.com/movie/bi/mi/basic.nhn?code=57723,https://ssl.pstatic.net/imgmovie/mdi/mit110/0577/57723_P108_160548.jpg,2006,['최동훈'],"['조승우', '김혜수', '백윤식', '유해진']",9.21,2006
19,72,늑대소년,https://movie.naver.com/movie/bi/mi/basic.nhn?code=88253,https://ssl.pstatic.net/imgmovie/mdi/mit110/0882/88253_P42_144810.jpg,2012,['조성희'],"['송중기', '박보영']",8.66,2012
21,77,아저씨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71509,https://ssl.pstatic.net/imgmovie/mdi/mit110/0715/71509_P16_175605.jpg,2010,['이정범'],"['원빈', '김새론']",9.25,2010
23,79,전우치,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48227,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48227_P46_095817.jpg,2009,['최동훈'],"['강동원', '김윤석', '임수정', '유해진']",8.22,2009
25,86,레미제라블,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89755,https://ssl.pstatic.net/imgmovie/mdi/mit110/0897/89755_P73_104924.jpg,2012,['톰 후퍼'],"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']",8.39,2012
28,93,숨바꼭질,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102824,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102824_P27_152515.JPG,2013,['허정'],"['손현주', '문정희', '전미선']",6.74,2013
31,99,2012,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49727,https://ssl.pstatic.net/imgmovie/mdi/mit110/0497/49727_P60_110128.jpg,2009,['롤랜드 에머리히'],"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']",7.60,2009
35,112,타워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83250,https://ssl.pstatic.net/imgmovie/mdi/mit110/0832/83250_P81_104827.jpg,2012,['김지훈'],"['설경구', '손예진', '김상경']",8.02,2012
37,115,추격자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68695,https://ssl.pstatic.net/imgmovie/mdi/mit110/0686/F8695-00.jpg,2008,['나홍진'],"['김윤석', '하정우']",9.09,2008
39,124,바람과 함께 사라지다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86888,https://ssl.pstatic.net/imgmovie/mdi/mit110/0868/86888_P08_111010.jpg,2012,['김주호'],"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']",7.60,2012
43,142,박물관이 살아있다!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62422,https://ssl.pstatic.net/imgmovie/mdi/mit110/0624/F2422-00.jpg,2006,['숀 레비'],['벤 스틸러'],8.02,2006
45,154,아이언맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44885,https://ssl.pstatic.net/imgmovie/mdi/mit110/0448/D4885-01.jpg,2008,['존 파브로'],"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스', '기네스 팰트로']",8.93,2008
47,158,킹콩,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38097,https://ssl.pstatic.net/imgmovie/mdi/mit110/0380/C8097-00.jpg,2005,['피터 잭슨'],"['나오미 왓츠', '잭 블랙', '애드리언 브로디']",8.97,2005
