연도,개봉편수,상영편수,매출액,관객수
2004,280,300,"440,728,906,206","69,254,626"
2005,306,415,"780,364,979,467","123,352,059"
2006,351,482,"892,442,138,000","144,256,035"
2007,393,611,"965,486,624,538","152,022,992"
2008,380,804,"961,453,297,251","147,428,639"
2009,362,714,"1,083,196,004,950","155,398,654"
2010,430,797,"1,157,254,738,250","147,759,214"
2011,442,943,"1,235,799,464,200","159,724,465"
2012,641,"1,231","1,455,140,354,435","194,890,587"
2013,907,"1,675","1,551,351,984,721","213,351,030"
2014,"1,095","1,952","1,664,232,549,160","215,068,958"
2015,"1,203","2,140","1,715,501,571,678","217,299,523"
2016,"1,574","2,615","1,743,194,424,370","217,026,182"
2017,"1,767","2,948","1,756,577,851,113","219,876,227"
2018,"1,871","3,184","1,813,963,809,238","216,385,269"
2019,"1,943","3,090","1,913,989,080,068","226,678,777"
2020,"1,897","3,009","510,374,718,191","59,523,967"
2021,"1,856","2,985","584,538,988,400","60,531,087"
2022,"1,774","2,841","1,160,213,484,400","112,805,094"
2023,289,585,"255,009,575,653","23,350,739"
