,영화명,감독,배급사,개봉일,출연
0,명량,김한민,씨제이이엔엠,2014-07-30,"['최민식', '류승룡', '조진웅']"
1,극한직업,이병헌,씨제이이엔엠,2019-01-23,"['류승룡', '이하늬', '진선규', '이동휘', '공명']"
2,신과함께-죄와 벌,김용화,롯데엔터테인먼트,2017-12-20,"['하정우', '차태현', '주지훈', '김향기', '김동욱', '마동석']"
3,국제시장,윤제균,씨제이이엔엠,2014-12-17,"['황정민', '김윤진', '오달수', '정진영']"
4,어벤져스: 엔드게임,안소니 루소,월트디즈니스튜디오스코리아,2019-04-24,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스', '마크 러팔로', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']"
5,겨울왕국 2,제니퍼 리,월트디즈니스튜디오스코리아,2019-11-21,"['크리스틴 벨', '이디나 멘젤']"
6,아바타,제임스 카메론, 해리슨앤컴퍼니,2009-12-17,"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']"
7,베테랑,류승완,씨제이이엔엠,2015-08-05,"['황정민', '유아인', '유해진', '오달수']"
8,도둑들,최동훈,쇼박스,2012-07-25,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']"
9,7번방의 선물,이환경,넥스트엔터테인먼트월드,2013-01-23,"['류승룡', '박신혜', '갈소원', '오달수', '박원상', '김정태', '정만식', '김기천']"
10,암살,최동훈,쇼박스,2015-07-22,"['전지현', '이정재', '하정우']"
11,범죄도시2,이상용, 에이비오엔터테인먼트,2022-05-18,"['마동석', '손석구', '최귀화']"
12,알라딘,가이 리치,월트디즈니스튜디오스코리아,2019-05-23,"['메나 마수드', '윌 스미스', '나오미 스콧']"
13,"광해, 왕이 된 남자",추창민,씨제이이엔엠,2012-09-13,"['이병헌', '류승룡', '한효주']"
14,신과함께-인과 연,김용화,롯데컬처웍스롯데엔터테인먼트,2018-08-01,"['하정우', '주지훈', '김향기', '마동석', '김동욱']"
15,택시운전사,장훈,쇼박스,2017-08-02,"['송강호', '토마스 크레취만', '유해진', '류준열']"
16,부산행,연상호,넥스트엔터테인먼트월드,2016-07-20,"['공유', '정유미', '마동석', '김수안', '김의성', '최우식', '안소희']"
17,해운대,윤제균,씨제이이엔엠,2009-07-22,"['설경구', '하지원', '박중훈', '엄정화']"
18,변호인,양우석,넥스트엔터테인먼트월드,2013-12-18,"['송강호', '김영애', '오달수', '곽도원', '임시완']"
