순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,CJ ENM,2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910","17,613,682",사극,15세이상관람가,일반영화
2,극한직업,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,CJ ENM,2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944",코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137","14,410,754",판타지,12세이상관람가,일반영화
4,국제시장,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,CJ ENM,2014-12-17,개봉영화,장편,한국,966,"110,828,014,630","14,245,998",드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,"2,835","122,182,694,160","13,934,592",액션,12세이상관람가,일반영화
6,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,"2,648","114,810,421,450","13,747,792",애니메이션,전체관람가,일반영화
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)","주식회사 해리슨앤컴퍼니,이십세기폭스코리아",2009-12-17,개봉영화,장편,미국,912,"128,447,097,523","13,624,328",SF,12세이상관람가,독립/예술영화
8,베테랑,류승완,"(주)외유내강,(주)필름케이",,CJ ENM,2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400",액션,15세이상관람가,일반영화
9,괴물,봉준호,영화사청어람(주),,쇼박스,2006-07-27,개봉영화,장편,한국,0,0,"13,019,740",SF,12세관람가,일반영화
10,도둑들,최동훈,(주)케이퍼필름,,쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500","12,983,330",액션,15세이상관람가,일반영화
11,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670","12,811,206",코미디,15세이상관람가,일반영화
12,암살,최동훈,(주)케이퍼필름,,쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700",액션,15세이상관람가,일반영화
13,범죄도시2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,"2,498","131,293,353,478","12,692,959",범죄,15세이상관람가,일반영화
14,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,"1,311","106,983,620,359","12,555,894",어드벤처,전체관람가,일반영화
15,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",,CJ ENM,2012-09-13,개봉영화,장편,한국,810,"88,900,208,769","12,319,542",사극,15세이상관람가,일반영화
16,왕의 남자,이준익,"(주)씨네월드,(주)이글픽쳐스",,시네마서비스,2005-12-29,개봉영화,장편,한국,0,0,"12,302,831",드라마,15세이상관람가,일반영화
17,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247",판타지,12세이상관람가,일반영화
18,택시운전사,장훈,더램프(주),,쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049","12,099,971",드라마,15세이상관람가,일반영화
19,태극기 휘날리며,강제규,강제규필름,,"다자인소프트,쇼박스",2004-02-05,개봉영화,장편,한국,0,0,"11,746,135",전쟁,15세관람가,일반영화
20,부산행,연상호,(주)영화사레드피터,,넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048","11,565,078",액션,15세이상관람가,일반영화
21,해운대,윤제균,(주)제이케이필름,,CJ ENM,2009-07-22,개봉영화,장편,한국,753,"81,934,638,201","11,453,338",액션,12세이상관람가,일반영화
22,변호인,양우석,위더스필름(주),,넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300","11,372,451",드라마,15세이상관람가,일반영화
23,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,"2,553","99,919,006,769","11,211,880",액션,12세이상관람가,일반영화
24,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아",2015-04-23,개봉영화,장편,미국,"1,843","88,582,586,366","10,494,499",액션,12세이상관람가,일반영화
25,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,"2,809","132,262,978,710","10,405,342",액션,12세이상관람가,일반영화
26,기생충,봉준호,(주)바른손이앤에이,,CJ ENM,2019-05-30,개봉영화,장편,한국,"1,948","87,459,829,095","10,313,086",드라마,15세이상관람가,일반영화
27,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아,2014-01-16,개봉영화,장편,미국,"1,010","82,461,504,400","10,296,101",애니메이션,전체관람가,일반영화
28,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아,2014-11-06,개봉영화,장편,미국,"1,342","82,274,331,200","10,273,803",SF,12세이상관람가,일반영화
29,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아",2018-10-31,개봉영화,장편,미국,936,"86,280,975,785","9,948,386",드라마,12세이상관람가,일반영화
30,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092",범죄,15세이상관람가,일반영화
31,엑시트,이상근,"(주)외유내강,(주)필름케이",,CJ ENM,2019-07-31,개봉영화,장편,한국,"1,660","79,232,212,162","9,426,051",코미디,12세이상관람가,일반영화
32,관상,한재림,"(주)주피터필름,(주)쇼박스",,쇼박스,2013-09-11,개봉영화,장편,한국,"1,190","66,005,451,500","9,134,586",사극,15세이상관람가,일반영화
33,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아,2013-04-25,개봉영화,장편,미국,"1,381","70,806,191,000","9,001,309",액션,12세이상관람가,일반영화
34,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,CJ ENM,2013-08-01,개봉영화,장편,한국,"1,128","64,016,480,000","8,914,845",SF,15세이상관람가,일반영화
35,실미도,강우석,(주)시네마서비스,,시네마서비스,2003-12-24,개봉영화,장편,한국,0,0,"8,801,840",전쟁,15세관람가,일반영화
36,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아",2016-04-27,개봉영화,장편,미국,"1,991","72,672,111,827","8,677,249",액션,12세이상관람가,일반영화
37,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,CJ ENM,2014-01-22,개봉영화,장편,한국,692,"62,696,639,249","8,656,397",드라마,15세이상관람가,일반영화
38,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,"66,240,631,706","8,646,758",어드벤처,12세이상관람가,일반영화
