,영화명,감독,배급사,개봉일,출연
0,아바타: 물의 길,제임스 카메론,월트디즈니스튜디오스코리아,2022-12-14,"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']"
1,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23,"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']"
2,기생충,봉준호,씨제이이엔엠,2019-05-30,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']"
3,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16,"['크리스틴 벨', '이디나 멘젤']"
4,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06,"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']"
5,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31,"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']"
6,검사외전,이일형,쇼박스,2016-02-03,"['황정민', '강동원']"
7,엑시트,이상근,씨제이이엔엠,2019-07-31,"['조정석', '윤아']"
8,관상,한재림,쇼박스,2013-09-11,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']"
9,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']"
10,설국열차,봉준호,씨제이이엔엠,2013-08-01,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']"
11,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27,"['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']"
12,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22,"['심은경', '나문희', '박인환', '성동일', '이진욱']"
13,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06,"['김남길', '손예진']"
14,국가대표,김용화,쇼박스,2009-07-29,"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']"
15,백두산,김병서,씨제이이엔엠,2019-12-19,"['이병헌', '하정우', '마동석', '전혜진', '수지']"
16,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03,"['차태현', '박보영', '왕석현']"
17,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22,"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']"
18,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02,"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']"
19,공조,김성훈,씨제이이엔엠,2017-01-18,"['현빈', '유해진', '김주혁']"
