,전국 스크린수,전국 매출액,총 관객수
0,2809,137325939643,112805094
1,1843,88582586366,217299523
2,1948,87459829095,226678777
3,1010,82461504400,215068958
4,1342,82274331200,215068958
5,936,86280975785,216385269
6,1812,77252755264,217026182
7,1660,79232212162,226678777
8,1190,66005451500,213351030
9,1381,70806191000,213351030
10,1128,64016480000,213351030
11,1991,72672111827,217026182
12,692,62696639249,215068958
13,838,66240631706,215068958
14,580,60896633308,155398654
15,1971,69825366300,226678777
16,405,53940101534,147428639
17,1975,87855360975,112805094
18,2142,69000711100,226678777
19,976,63781731326,219876227
20,1409,74841350500,159724465
21,1009,60173583015,217299523
22,1038,57795846000,159724465
23,2948,75193912210,60531087
24,1129,51478531663,155398654
25,1444,61158644831,217026182
26,615,55808856500,159724465
27,472,53773170600,159724465
28,2223,73700628377,112805094
29,1965,59120173820,219876227
30,1299,58165581145,219876227
31,894,52354931637,213351030
32,1501,58067927865,217026182
33,1105,57510324417,217026182
34,967,59557853478,194890587
35,1075,56596582057,217299523
36,1049,55101410303,217026182
37,2389,70884583586,112805094
38,1341,48663939413,213351030
39,1485,55853108382,217026182
40,1315,56077813249,219876227
41,825,43768628939,147428639
42,706,46593107500,194890587
43,2027,50510565168,219876227
44,1957,55888375112,216385269
45,1210,47644838000,194890587
46,478,47870792359,147759214
47,1210,48842902501,217299523
48,606,44605437017,155398654
49,1202,48547353607,217299523
50,706,50333635795,217299523
51,1013,45560620330,217299523
52,528,44106546302,147759214
53,696,43044999000,194890587
54,2691,62648728870,112805094
55,2100,51491272223,226678777
56,1972,49770711037,216385269
57,1102,44241099316,219876227
58,779,39593038500,213351030
59,964,44344141109,217026182
60,743,39866712881,213351030
61,1290,47800698826,217299523
62,572,40800867602,147759214
63,949,39298005179,213351030
64,789,39415166660,155398654
65,1775,47465443185,216385269
66,1503,47482530396,217026182
67,1088,42395347092,217299523
68,1540,46335334026,216385269
69,1620,45883143457,216385269
70,500,38530503500,159724465
71,1602,44012272845,215068958
72,1313,44356752474,216385269
73,1418,45442252130,226678777
74,964,38555357000,213351030
75,617,37654858000,194890587
76,1627,42130589579,219876227
77,435,33943278500,147428639
78,1357,43484892913,216385269
79,948,44298724500,159724465
80,1285,44113456704,216385269
81,1317,42759410176,216385269
82,777,38015586936,217299523
83,1687,40987484736,219876227
84,694,34524377161,194890587
85,1132,39612764295,217299523
86,1640,39248432595,219876227
87,1118,41163951235,194890587
88,206,37354452679,215068958
89,611,35841769500,159724465
90,1476,40514276538,226678777
91,1394,36987755999,215068958
92,1659,41223596650,59523967
93,1936,41518977430,226678777
94,699,36479147500,194890587
95,661,37077444042,217026182
96,801,38703942201,215068958
97,351,30000965000,147428639
98,1431,39337263058,217026182
99,644,35566854800,159724465
100,563,34222160500,194890587
101,1511,39560195124,226678777
102,1166,35965733064,217026182
103,704,30146162133,155398654
104,457,29570784560,147428639
105,759,32154766664,194890587
106,757,33161943100,147759214
107,1426,35477912466,219876227
108,757,34507819000,159724465
109,1998,38554527990,59523967
110,1625,44573032153,112805094
111,592,27802744668,147428639
112,1056,34654558766,215068958
113,659,28465757767,147428639
114,1171,35114332791,217026182
115,1312,34869056800,215068958
116,660,26693951667,147428639
117,807,30037161000,213351030
118,593,30219800500,194890587
119,527,26222207084,147428639
120,475,26701311856,155398654
121,462,27059471306,147428639
122,534,30129259500,194890587
123,418,26151780425,147428639
124,1314,31313568795,219876227
125,922,31509793095,215068958
126,890,32267244827,215068958
127,1365,31340798156,217026182
128,1106,31710585385,215068958
129,599,28343986569,213351030
130,1308,34100211207,216385269
131,811,30456879428,217299523
132,1054,29893297890,215068958
133,799,32906364462,217299523
134,1229,31067321992,219876227
135,2575,33071341280,59523967
136,1576,34185664639,216385269
137,499,25616489949,147428639
138,1177,32855895548,216385269
139,1180,30891765837,216385269
140,585,24314570667,147428639
141,1257,30504689978,219876227
142,1486,30305744310,226678777
143,1311,32241767793,226678777
144,1469,29981156348,219876227
145,947,29248867156,219876227
146,1688,34558297730,60531087
147,496,28518443148,217299523
148,727,30006844694,217026182
149,876,27245051990,217026182
150,603,26566677000,159724465
151,794,28777712256,215068958
152,1177,27685479440,216385269
153,453,25878110500,194890587
154,785,24436429305,213351030
155,862,27441213382,216385269
156,736,25856306126,147759214
157,1336,28757726040,226678777
158,1431,28869614062,226678777
159,736,24217600897,147759214
160,770,27301520070,194890587
161,568,24867023000,213351030
162,1307,29128292150,226678777
163,1541,32848464324,112805094
