,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
0,2575,미니특공대X,이영준,삼지애니메이션,2018-03-22,장편,한국,458,744858200,99952,"131,013,800","16,957",애니메이션,전체관람가,일반영화,2018,3,봄,216385269,0,"['엄상현', '전태열', '이소영', '신용우']",7.55
1,2578,알파독,닉 카사베츠,싸이더스,2009-01-29,장편,미국,161,648950794,99692,"265,066,000","38,703",드라마,청소년관람불가,일반영화,2009,1,겨울,155398654,0,"['에밀 허쉬', '저스틴 팀버레이크', '벤 포스터', '안톤 옐친', '아만다 사이프리드', '브루스 윌리스', '샤론 스톤']",6.06
2,2583,엘비스,바즈 루어만,워너브러더스 코리아,2022-07-13,장편,미국,665,1070700628,98706,"529,762,729","47,318",드라마,15세관람가,일반영화,2022,7,여름,112805094,1,"['오스틴 버틀러', '톰 행크스']",8.83
3,2584,라이언,가스 데이비스,이수C&E,2017-02-01,장편,기타,205,736334100,98660,"268,044,000","35,523",드라마,12세관람가,독립/예술영화,2017,2,겨울,219876227,0,"['데브 파텔', '루니 마라', '니콜 키드먼', '데이비드 웬햄', '써니 파와르']",9.24
4,2585,로덴시아: 마법왕국의 전설,데이비드 비스바노,영화사 빅,2013-10-02,장편,기타,221,632768500,98575,"162,525,500","24,021",애니메이션,전체관람가,독립/예술영화,2013,10,가을,213351030,0,"['헤르난 브라보', '나탈리아 로스미나티', '엔리크 포셀라나', '리카르도 알라니스']",7.43
5,2587,가필드-마법의 샘물,마크 A.Z. 디페,케이디미디어,2009-02-19,장편,미국,95,577233283,98527,"175,945,000","28,165",애니메이션,전체관람가,일반영화,2009,2,겨울,155398654,0,"['프랭크 웰커', '그렉 버거', '그렉 이글스', '오드리 워실스키', '팀 콘웨이']",6.48
6,2588,빌리와 용감한 녀석들 3,척 파워스,롯데엔터테인먼트,2015-04-30,장편,미국,343,699788600,98495,"177,312,700","23,652",애니메이션,전체관람가,독립/예술영화,2015,4,봄,217299523,0,"['숀 애스틴', '엄상현', '조현정']",8.13
7,2589,대병소장,장성,싸이더스,2010-03-11,장편,기타,158,718183268,98435,"136,399,500","17,622",액션,12세관람가,일반영화,2010,3,봄,147759214,0,"['성룡', '왕리홍']",6.98
8,2591,블랙폰,스콧 데릭슨,유니버설픽쳐스인터내셔널 코리아,2022-09-07,장편,미국,495,997038042,98336,"296,096,118","30,251",공포(호러),15세관람가,일반영화,2022,9,가을,112805094,1,"['에단 호크', '매들린 맥그로', '메이슨 테임즈']",7.69
9,2592,김광석,이상호,무빙픽쳐스컴퍼니,2017-08-30,장편,한국,223,772483500,98231,"346,699,400","41,838",다큐멘터리,15세관람가,독립/예술영화,2017,8,여름,219876227,0,"['<b>김광석</b>', '이상호', '박학기', '한동준']",8.68
10,2593,맥베스,저스틴 커젤,판씨네마,2015-12-03,장편,영국,141,744966853,98161,"390,696,453","49,594",드라마,15세관람가,독립/예술영화,2015,12,겨울,217299523,0,"['마이클 패스벤더', '마리옹 꼬띠아르']",7.83
11,2594,이웃집에 신이 산다,자코 반 도마엘,엣나인필름,2015-12-24,장편,기타,73,790535650,97883,"428,475,050","51,331",코미디,청소년관람불가,독립/예술영화,2015,12,겨울,217299523,0,"['브누와 뽀엘부르드', '욜랜드 모로', '까뜨린느 드뇌브', '프랑소아 다미앙', '필리 그로인']",7.12
12,2595,여중생A,이경섭,롯데컬처웍스롯데엔터테인먼트,2018-06-20,장편,한국,479,811686000,97849,"304,755,500","33,816",드라마,12세관람가,일반영화,2018,6,여름,216385269,0,"['김환희', '수호']",6.28
13,2597,9:나인,쉐인 액커,에스케이텔레콤,2009-09-09,장편,미국,186,704611404,97787,"327,167,500","42,859",애니메이션,12세관람가,일반영화,2009,9,가을,155398654,0,"['일라이저 우드', '존 C. 라일리', '제니퍼 코넬리', '크리스핀 글로버', '마틴 랜도', '크리스토퍼 플러머']",7.76
14,2598,레이디 버드,그레타 거윅,유니버설픽쳐스인터내셔널 코리아,2018-04-04,장편,미국,344,794126700,97777,"448,029,200","53,878",코미디,15세관람가,일반영화,2018,4,봄,216385269,0,['시얼샤 로넌'],8.53
15,2599,아내를 죽였다,김하라,케이티알파,2019-12-11,장편,한국,556,793514560,97580,"198,429,420","25,259",스릴러,15세관람가,독립/예술영화,2019,12,겨울,226678777,0,"['이시언', '안내상', '왕지혜']",5.06
16,2600,인류멸망 보고서,김지운,롯데엔터테인먼트,2012-04-11,옴니버스,한국,236,702418000,97555,"228,281,500","29,802",SF,15세관람가,일반영화,2012,4,봄,194890587,0,"['류승범', '송새벽', '김강우', '송영창', '김규리', '고준희', '진지희']",4.88
17,2601,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,사카키바라 모토노리,이수C&E,2020-09-30,장편,일본,591,780592310,97398,"149,593,280","17,678",애니메이션,전체관람가,일반영화,2020,9,가을,59523967,1,"['이선호', '홍시호']",8.15
