,순번,영화명,감독,배급사,개봉일
0,25,아바타: 물의 길,제임스 카메론,월트디즈니스튜디오스코리아,2022-12-14
1,26,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23
2,27,기생충,봉준호,씨제이이엔엠,2019-05-30
3,28,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16
4,29,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06
5,30,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31
6,31,검사외전,이일형,쇼박스,2016-02-03
7,32,엑시트,이상근,씨제이이엔엠,2019-07-31
8,33,관상,한재림,쇼박스,2013-09-11
9,34,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25
10,35,설국열차,봉준호,씨제이이엔엠,2013-08-01
11,36,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27
12,37,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22
13,38,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06
14,39,국가대표,김용화,쇼박스,2009-07-29
15,41,백두산,김병서,덱스터스튜디오,2019-12-19
16,42,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03
17,43,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22
18,44,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02
19,46,공조,김성훈,씨제이이엔엠,2017-01-18
20,47,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29
21,48,히말라야,이석훈,씨제이이엔엠,2015-12-16
22,49,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15
23,50,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15
24,51,트랜스포머: 패자의 역습,마이클 베이,(주)씨제이이엔엠,2009-06-24
25,52,밀정,김지운,워너브러더스 코리아,2016-09-07
26,53,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10
27,55,써니,강형철,씨제이이엔엠,2011-05-04
