,영화명,리뷰
0,명량,"['오늘 명량 시사회로 방금 보고 왔음. 단연코 올해의 수작임. 밑에 평론가들 캐릭터 어쩌고 하는데 류승룡 캐릭터 더 살리면 일본장수 미화한다며 입털게 분명. 평론가들 하는 짓이라곤 남이 차린 밥상 맛있네 맛없네 까대며...', '이순신, 그는 신이다.', '군도보다 훨씬 잼있음..극장가서 꼭 보세요', '29일 시사회로 봤어요냉정하게이건 꼭 봐야해..굿', '오늘 아침에 조조로 보고왔습니다. 8월4일에 해군에 입대하는데. 그전에 보기 잘한 영화같습니다. 평소에 영화 많이 좋아하고 자주보는 편인데. 무지 재미있게 봤습니다. 나라 잘지키고 오겠습니다 필승', '정말 재미있네요 잘보고 왔습니다 시사회', '극찬할 수는 없지만 이 정도면 내용, 영상, 연출 전부 꽤나 뛰어난 작품이지 않은가? 평론가들의 평점 6점은 도대체 어떻게 해서 나온 점수인지... 블랙펄 같은 배가 나오고 판옥선이 거북선으로 트랜스포머하는 장면이 ...', '국가에 버림을 받아도 의리로 지키려는 충신. 피를 흘리면서 싸우는 군인들의 투지. 두려움을 넘어선 백성들의 의지. 소중한 가족들을 잃은 민족의 한...  슬픈 명작이었습니다....', '보는 내내 가슴찡하고 울컥하는 진짜 최고의 영화ㅠㅠ한 순간도 놓칠 수 없는 해전씬이 특히 압권!!', '작금의 이시점에 국가가 혼란하고 위태할수록국가를 직간접으로 책임지고 있는 리더에게 무엇이 필요한지 리더의 마음이 한치의 흔들림없이 무엇을 향하고 있어야 하는지를 세치의 혀가 아닌 온몸으로 400년전 구국의영웅이 20...']"
1,극한직업,"['일단 진선규님 진짜 연기를 다양하게 잘하셔서 놀랐어요 오랜만에 부담없이 진짜 코미디 영화를 본거 같아서 즐거웠어요 조조로 할인받고 봤는데 반값이라 더 재밌어요 밤새다 할거없이 봤는데 최고~~', '진짜 뻥안치고 ㅈㄴ 웃겼다', '계속 웃으면서 봤어요!""지금까지 이런맛은 없었다이것은 갈비인가 통닭인가수원왕갈비통닭입니다.""이 대사가 귓가에 계속 맴도네요 ㅎㅎ', '지금까지 이런 영화는 없었다  이것은 영화인가 통닭광고인가', '간만에 정치색 안띠고 마냥 한국식으로 웃긴 영화다~류승룡도 완전 찰지고ㅋ흥해라', '아주그냥  진지한척 심오한척 메세지있는척 겉멋은잔뜩들고 막상 까보면 텅빈 영화들만 주구장창 나와서 피로하던참에 간만에 힘 쪽빼고 유쾌하게 웃으며 볼수있는영화라 너무 즐거웠습니다. 한국식코미디에는 꼭 나오는 억지 감동...', '류승룡 좀비설 너무 웃겼어여', '마약반 형사들 각각 캐릭터가 확실했습니다. 겹치는 점도 없었고 조합도 너무 좋았습니다. 악역분들도 그 표정들하며 사투리와 찰진 욕설들.. 기억속에 남습니다. 웃으면서 행복했던 감정이 기억에 남습니다. 시사회로 봤지만...', '완전 내스타일.. 류승룡 영화 요즘 말아먹더니 이번엔 대박 웃기네 ㅋㅋ역시 갓승룡', '조조로 보고 출근중입니다. 저는 정말 미친듯이 웃었고.감동도조금 있었습니다.극한직업2 제작해주떼엽']"
2,신과함께-죄와 벌,"['이정재가 홍보 따라다닌 이유를 알겠음 ㅋㅋㅋ 그리고 관심병사 연기 도랐다', '남자 셋이서 안 울라고…주먹으로 입틀막함 ㅋㅋㅋㅋ', '여보, 이번 겨울에… 부모님댁에 밥솥 놔드려야겠어요', '가족이랑 봤는데… 나… 우리 아빠 우는 거 처음 봤음 ㅜㅜㅜㅜ', '오늘도 열심히 사는 대한민국의 자홍,수홍씨들을 응원합니다 ㅠㅠ', '오늘 화장 안하고 신과함께를 본 것은 신의한수였음.', '야 이거 생각한 것 보다 잘 나왔잖아 ?', '원작팬이에요. 솔직히 기대 내려놓고 봤지만 볼거리, 스토리, 캐릭터 케미 모두 기대 이상이었어요. 이정도 영화 없다고 봅니다. 많이 감동 받았어요', '도대체 내가 지은 죄가 몇개야....', '장르는 판타지지만 그안에 새로운것이 있고 정말 마지막이 반전이고 보면서 삶에대해 다시한번 느끼게되네요 영화보면서 울었습니다 어머니꿈에서 아들과 재회하는데 ㅠㅜ 진심 잘만들었네요 영화 뜻깊게보다갑니다']"
3,국제시장,"['영화내내 가족에게 잘해야겠다 생각이 들었다.우리 아버지는 날위해 모든것을바치신사람이다. 효도해야겠다.', '이분들이 있었기에 지금의 내가있고 대한민국이 있는거지. 존경스럽다', '광부, 간호원 여러분! 나라가 부족하고 내가 부족해 여러분이 여기 있습니다 가족과 고향 생각에 괴로움이 많은 줄 알지만 우리가 무엇 때문에 이 먼 이국에 왔는가를 생각해봅시다 비록 우리 생전엔 이룩하지 못하더라도 후...', '추운날 한파를 뚫고 시사회로 보고왔으나 돈을 주어도 아깝지 않은 소중한 시간을 선물 받았다.처음은 전쟁의 아픔 , 중간은 부모님의 자식들을 위한 희생적인 삶을 생각하게 되었고 마지막은 나 자신에 대해 돌아보게 되었다...', '20대초반 젊은이로 우리가 겪지못했던 우리한아버지들의삶을 보여주는 영화..그들이 있기에 지금 우리가 편안히 살수있습니다감동적입니다', '아 눈물범벅. 고생하신 아버지 생각나네요 ㅠㅠ', '조조로 보고 왔습니다. 시작하고 계속 눈물 닦다가 웃다가 했습니다. 근래에 본 한국영화 중 최고였습니다', '내일을 조국과 민족을 위하여.', '시사회때 봤는데 단연코 수작임. 2014년 대표영화로 손꼽을만함.근데 방금개봉했는데 오유강간충들이 좌표찍고1점테러하자하는중 ㅋㅋㅋ 명색이 평론가라고 5~6점주는거보소ㅋㅋㅋ평론가들 전부 한겨레 씨네21이라그런가 ㅋㅋㅋ...', '황정민이캐릭터잘살렷고웃기면서 재밋엇어요']"
4,어벤져스: 엔드게임,"['마블 3000만큼 사랑합니다', 'Avengers Assemble!', ""I'm Ironman."", '아이언맨으로 시작해서 아이언맨으로 끝난다..', '아스가디언즈 오브 갤럭시 벌써부터 기대됨 ㅋㅋㅋㅋ', '히어로물보고 울줄 누가알겠습니까', '인피니티워가 10년을 무너뜨리는 영화라면엔드게임은 10년을 돌아보는 영화입니다', '쥐가다살렸음 ㅋㅋㅋㅋ', '마지막 한타에서 쌌습니다', '10점 안주는 사람들은 마블에 6에서900까지밖에 애정이 없는거 ...']"
5,겨울왕국 2,"['올라프의 1편요약이 기가맥힙니다', '크리스토퍼 뮤비에서 좀 흠칫함', '미래가 보이지 않을 때는 지금 해야할 일을 해야 해', '나는 개인적으로 2편이 더 좋았음. 더 깊어진 스토리에 아름다워진 영상미. 한번 더 볼 의향 있음.', '엘사옷 보고 어머니들 긴장하는 영화', '애기들 울고 떠들고 하는거 보고 엘사 마법으로 얼릴뻔 했네요', '크리스토퍼 혹시 과거에 뮤비찍어본적 있니?왜 이렇게 잘해??...순간 당황했잖아', '엘사 물 속에서 말타고 나올 때 대박ㅋㅋㅋㅋ', '겨울왕국 역시는 역시였다. OST도 1편만큼이나 중독성있다고 생각함ㅋㅋㅋ1편만큼 존잼임', '스포 때문에 메인 넘버를 into the unknown으로 정한 느낌... 진짜 하이라이트는 show yourself 엄마와 함께 부르는 듀엣씬입니다. 이 장면만으로도 충분히 영화관에서 볼 가치가 있어요. 보고 난 ...']"
6,아바타,"['영화사인 한 획을 그은 영화', '스토리 전개 뻔할지도 몰라요 근데 좋음  스토리  전개 보단 나비 행성에서의 판타지 넘치는 일상이 날 설레게 해요', '헐리우드가괜히 헐리우드가 아니다..', '3D 아이맥스는 진정 최고였다.', '제임스 카메론 감독 영화는 다 명작인듯', '나비행성에서 살고싶을 정도로 매혹적이었던 신세계를 보았음', '이거랑 명량이랑 비교하는건;;; 무슨;; 장난하나;', '대체 스토리가 어떻다고 이형석,백승찬 기자는 스토리에 4점을 줬지?아 물론 참신한 이야기는 아니었지만 과연 4점받을 정도로 쓰레기 스토린가?진짜 납득이 안가네 ㄷㄷ', '감동해서 잠이 안왔던 영화.', '인간이 인간이길 포기하는 과정이 너무 자연스러워서 엔딩에서 소름끼쳤던 영화, 속편이 정말 기대된다....']"
7,베테랑,"['머야 이거 암살 보다 재미 있네', '황정민, 유해진, 오달수의 연기력도 대단하지만 유아인이라는 배우를 다시 보게 되는 영화. 유아인의 연기가 이 영화의 핵심!', '초반부터 진짜 빵빵 터져주는데 더운 올 여름 완젼 강추! 유아인 악역 제대로더라 !!', '황정민은 말할 것도 없다. 유아인의 악역 연기도 단연 압권. 영화와 배우의 조화가 매우 좋았다.', '유쾌 통쾌 상쾌 삼박자가 잘 맞아 보는 관객들로 씐나게 들썩이게 한다. 배우들의 합도 최고! 황정민 유아인의 악과선의 대결이 감칠맛 최고! 다시 보고싶게하는 마력이 있다.', '볼만한 영화에 배우들이 하드캐리함.. 유해진, 유아인, 황정민 쩐다..', '유아인 악역 연기가 정말 리얼했다....그리고 뭔가 내 맘속에 있던 응어리를 뻥! 뚫어준 느낌의 영화. 속 시원했다.', '어쩔.. 정말 정신없게 재밌다;;; 배우들은 다 펄펄 날아다님', '류감독님 영화 정말 좋아하지만 자칫식상할수있었는데 ~~ 유아인의 악역연기가 너무 리얼했어요  ! 영화의 중심을 잘 끌어둔듯 연기잘하네 정말', '"" 나 아트박스 사장인데! "" 마동석 아저씨 짧지만 굵은 대사! 모든 배우들 매력넘치는 멋진 영화!']"
8,괴물,"['뻔한 스토리로 뻔하지 않은 영화를 만들었다', '좀 똑똑한 사람들은 이 영화를 보고 눈치챘을거다...이건 단순오락영화가 아닌 우리민족에대한얘기이고 대한민국현실에 대한 영화라고...세뇌당한 사람들이야 걍 오락영화로 보겠지만...현시대 누가 괴물인지를 제대로 보여주는...', '우리나라최고의괴수영화', '맙소샄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ괴물voice가 오달수?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '사회적 풍자와 중간중간 코미디적 요소 그리고 가족의 비극에 대한 아픔 등 최고 수준의 즐거움을 제공하다. 괴수영화에서 느끼는 공포감과 스릴을 최대로 맛보다.', '괴물을 무찌른 건 군인도 경찰도 소방관도 아닌 소시민이었다.', '이건 괴물영화가 아닌 가족영화', '마지막 괴물죽일때 정말 명장면', '뭐가 진짜 괴물이지???????? 생각해 보게 되는 영화', ""이영화는 '괴물'이 소재가아니다. '한국'이 소재이다. 우리는 배우의 대사 하나하나를 곱씹어 들어야한다. 우리에게 하고있는 중요한 메세지이다.""]"
9,도둑들,"['ㅋㅋㅋ스토리도 탄탄하고 연기자들 연기도 누구 하나 나쁘지 않았는데 왜 저렇게 별로라고 그러지ㅋㅋ남들이 별로라 하니까 괜히 휩쓸려서 나쁘다 하는거 같은데 웃김ㅋㅋ이 정도면 평타는 쳤음', '걍 전지현의 매력을 다시 살려준 영화..', '웨이홍 역 캐스팅에 돈을 좀 투자했었어야....', '사기꾼들이란 제목이 더 어울릴정도로.. 계속된 뒷통수 반전들이.. 2시간 넘게 집중할수 있는 했던.. 오락영화로 괜찮네..', '김윤석 액션 연기 볼만했음', '가벼운 마음으로 보는 킬링타임용으로 제격. 상업영화도 이정도로만 만들면 영화값이 아깝진 않을듯.. 아쉬운 부분도 확실히 있었지만 캐릭터만큼은 맛깔나게 잘 살림. 김윤석과 김혜수 전지현 연기보는 재미도 쏠쏠했음.', '전지현굳굳', '아따김수현잘생겼다', '재밌어요', '재밌어요..! 제 취향인진 모르겠지만 임달화씨 멋있었어요ㅋㅋ']"
