movie,sentence,score
웅남이,혹시나 했는데 진짜 보길 잘했다.ㅎㅎ완전 웃김,10
샤잠! 신들의 분노,신들의 분노가 아닌 관람객의 분노가 맞을듯...DC 리부트에서 살아남기 힘들듯...,3
웅남이,배우들 모두 수고하셨습니다!,10
세자매,난 이 영화를 보고 장윤주가 이렇게 연기를 잘하는줄 이 영화 보고 알았다!,10
이니셰린의 밴시,떠나려는 널 붙잡으면서도 네가 없는 내 걱정부터 했었어. 그곳도 여기랑 비슷한거 같은데 넌 거기가 좋아? 모르겠고 난 여기 있을래. 잔해와 무덤과 함께,8
웅남이,멧돼지 귀여웠던 사람손??,10
웅남이,박성광 개콘때 팬임 근데 영화보다 나갔음 왠만하면 참으려했지만..,1
스즈메의 문단속,얼빠 스즈메의 수난기 그 이상도 이하도 아님,4
웅남이,오달수씨를 다시 볼 수 있어서 너무 반가웠어요 ,4
태극기 휘날리며,최고의 영화 대작이기도 하지만 어디 하나 치우치지 않고 리얼리티에 가깝게 만들었다 ,10
웅남이,즐겁게 잘 봤습니다~~,10
소울메이트,진짜 최고!!! 다들 진짜 완벽했다ㅠㅠㅠㅠ ,10
웅남이,요즘 볼거없을때 웅남이가 딱이네요,9
파벨만스,애기들연기할땐재밋어서보다가어른으로변해서연기하는 남은1시간반잣다 지루한거좋아하는사람은볼만함.나처럼 잠이 안오는사람도 한번보면깊게잘수있음.진짜엄청졸림 ,1
웅남이,어이가 없는게 왜 네이버영화 평점을 조작함??? 조작할꺼면 뭐하러 평점 영역을 만들아 놓았음?? 없애지,1
웅남이,기대했던것 보다는 좀 약하다 ,6
웅남이,이런 영화를 돈주고 보다니....ㅋㅋ,4
대외비,재밌게 봤습니다. 배우들의 연기가 좋았어요!,8
웅남이,추천요~,10
성룡의 빅타임,"브래들리와의 액션씬은 충분히 볼만한 가치가 있지만, 뜬금없긴 하다.",6
컨저링 3: 악마가 시켰다,형만한 아우가 없다는 걸 보여주는 듯해요 갈수록 안 무서워요 ㅠ,6
뱅드림! 로젤리아 에피소드Ⅰ: 약속,팬이라면 누구나 좋아할 거에요! 음악도 좋고 역시 극장에서 봐야 하는 이유가 있습니다.,8
스즈메의 문단속,재밌게 잘봤습니다. 마지막엔 정말 감동이였습니다.,10
모나리자와 블러드 문,스토리는 아쉽지만 음악이 좋았습니다.,7
웅남이,너무 웃어서 민망했네요..,10
놉,놉은 UFO가 아니라 유기체였어.... 별내용도 없고 그닥...,7
모나리자와 블러드 문,헐리우드 영화지만 전종서를 위한 영화처럼 전종서의 매력들이 많이 돋보이는 작품.,10
