,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
24,25,아바타: 물의 길,제임스 카메론,,2022-12-14,장편,미국,2809,137325939643,10779198,"35,339,578,744","2,612,163",액션,12세관람가,일반영화
25,26,어벤져스: 에이지 오브 울트론,조스 웨던,,2015-04-23,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세관람가,일반영화
26,27,기생충,봉준호,,2019-05-30,장편,한국,1948,87459829095,10313086,"24,128,560,195","2,790,209",드라마,15세관람가,일반영화
27,28,겨울왕국,제니퍼 리,,2014-01-16,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
28,29,인터스텔라,크리스토퍼 놀란,,2014-11-06,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세관람가,일반영화
29,30,보헤미안 랩소디,브라이언 싱어,,2018-10-31,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세관람가,일반영화
30,31,검사외전,이일형,,2016-02-03,장편,한국,1812,77252755264,9699092,"18,302,525,664","2,219,587",범죄,15세관람가,일반영화
31,32,엑시트,이상근,,2019-07-31,장편,한국,1660,79232212162,9426051,"18,533,549,352","2,132,869",코미디,12세관람가,일반영화
32,33,관상,한재림,,2013-09-11,장편,한국,1190,66005451500,9134586,"19,311,179,000","2,561,744",사극,15세관람가,일반영화
33,34,아이언맨 3,쉐인 블랙,,2013-04-25,장편,미국,1381,70806191000,9001309,"21,668,935,500","2,595,269",액션,12세관람가,일반영화
34,35,설국열차,봉준호,,2013-08-01,장편,한국,1128,64016480000,8914845,"18,975,866,000","2,550,437",SF,15세관람가,일반영화
35,36,캡틴 아메리카: 시빌 워,안소니 루소,,2016-04-27,장편,미국,1991,72672111827,8677249,"21,248,121,149","2,400,069",액션,12세관람가,일반영화
36,37,수상한 그녀,황동혁,,2014-01-22,장편,한국,692,62696639249,8656397,"15,358,810,049","2,042,110",드라마,15세관람가,일반영화
37,38,해적: 바다로 간 산적,이석훈,,2014-08-06,장편,한국,838,66240631706,8646758,"14,906,345,006","1,868,694",어드벤처,12세관람가,일반영화
38,39,국가대표,김용화,,2009-07-29,장편,한국,580,60896633308,8487894,"16,782,332,500","2,213,346",드라마,12세관람가,일반영화
40,41,백두산,김병서,,2019-12-19,장편,한국,1971,69825366300,8252669,"15,055,877,210","1,724,785",어드벤처,12세관람가,일반영화
41,42,과속스캔들,강형철,,2008-12-03,장편,한국,405,53940101534,8245523,"16,515,292,833","2,390,408",코미디,12세관람가,일반영화
42,43,탑건: 매버릭,조셉 코신스키,,2022-06-22,장편,미국,1975,87855360975,8177446,"25,925,045,991","2,309,600",액션,12세관람가,일반영화
43,44,스파이더맨: 파 프롬 홈,존 왓츠,,2019-07-02,장편,미국,2142,69000711100,8020208,"18,515,112,400","2,051,196",액션,12세관람가,일반영화
45,46,공조,김성훈,,2017-01-18,장편,한국,976,63781731326,7817446,"14,672,808,676","1,744,624",액션,15세관람가,일반영화
46,47,트랜스포머 3,마이클 베이,,2011-06-29,장편,미국,1409,74841350500,7784807,"21,746,223,000","2,143,018",액션,12세관람가,일반영화
47,48,히말라야,이석훈,,2015-12-16,장편,한국,1009,60173583015,7759473,"13,920,553,930","1,738,016",드라마,12세관람가,일반영화
48,49,미션임파서블:고스트프로토콜,브래드 버드,,2011-12-15,장편,미국,1038,57795846000,7575899,"18,719,283,500","2,347,164",액션,15세관람가,일반영화
49,50,스파이더맨: 노 웨이 홈,존 왓츠,,2021-12-15,장편,미국,2948,75193912210,7551990,"21,054,819,760","2,041,418",액션,12세관람가,일반영화
50,51,트랜스포머: 패자의 역습,마이클 베이,,2009-06-24,장편,미국,1129,51478531663,7505700,"16,083,028,500","2,200,557",SF,12세관람가,일반영화
51,52,밀정,김지운,,2016-09-07,장편,한국,1444,61158644831,7487545,"15,436,298,021","1,827,424",액션,15세관람가,일반영화
