영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
명량,김한민,(주)씨제이이엔엠,2014-07-30,장편,한국,1587,135748398910,17613682,"33,121,225,810","4,163,666",사극,15세관람가,일반영화
극한직업,이병헌,(주)씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516,16264944,"31,858,660,536","3,638,287",코미디,15세관람가,일반영화
신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,장편,한국,1912,115698654137,14410754,"27,530,825,087","3,346,172",판타지,12세관람가,일반영화
국제시장,윤제균,(주)씨제이이엔엠,2014-12-17,장편,한국,966,110828014630,14245998,"25,842,519,330","3,233,946",드라마,12세관람가,일반영화
어벤져스: 엔드게임,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,장편,미국,2835,122182694160,13934592,"33,577,136,860","3,597,963",액션,12세관람가,일반영화
겨울왕국 2,제니퍼 리,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,장편,미국,2648,114810421450,13747792,"28,824,682,580","3,225,974",애니메이션,전체관람가,일반영화
아바타,제임스 카메론,주식회사 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,"40,547,523,000","3,993,374",SF,12세관람가,독립/예술영화
베테랑,류승완,(주)씨제이이엔엠,2015-08-05,장편,한국,1064,105024756250,13395400,"26,766,369,950","3,290,366",액션,15세관람가,일반영화
괴물,봉준호,(주)쇼박스,2006-07-27,장편,한국,0,0,13019740,0,"3,571,254",SF,12세관람가,일반영화
도둑들,최동훈,(주)쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,"26,089,426,500","3,468,906",액션,15세관람가,일반영화
7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,장편,한국,787,91431914670,12811206,"22,800,931,670","3,070,053",코미디,15세관람가,일반영화
암살,최동훈,(주)쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,"25,306,651,181","3,155,960",액션,15세관람가,일반영화
범죄도시2,이상용,주식회사 에이비오엔터테인먼트,2022-05-18,장편,한국,2498,131293353478,12692959,"29,072,759,869","2,755,760",범죄,15세관람가,일반영화
알라딘,가이 리치,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,장편,미국,1311,106983620359,12555894,"30,218,911,039","3,377,404",어드벤처,전체관람가,일반영화
"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13,장편,한국,810,88900208769,12319542,"25,192,804,727","3,355,700",사극,15세관람가,일반영화
왕의 남자,이준익,(주)시네마서비스,2005-12-29,장편,한국,0,0,12302831,0,"3,660,842",드라마,15세관람가,일반영화
신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,장편,한국,2235,102476768809,12253247,"22,905,551,759","2,636,542",판타지,12세관람가,일반영화
택시운전사,장훈,(주)쇼박스,2017-08-02,장편,한국,1906,95284747049,12099971,"22,186,916,199","2,729,932",드라마,15세관람가,일반영화
태극기 휘날리며,강제규,(주)다자인소프트,2004-02-05,장편,한국,0,0,11746135,0,"3,509,563",전쟁,15세관람가,일반영화
부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,장편,한국,1788,93175877048,11565078,"23,020,827,248","2,754,686",액션,15세관람가,일반영화
해운대,윤제균,(주)씨제이이엔엠,2009-07-22,장편,한국,753,81934638201,11453338,"21,141,403,500","2,791,508",액션,12세관람가,일반영화
변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,장편,한국,923,82856578300,11372451,"22,571,929,000","2,978,688",드라마,15세관람가,일반영화
어벤져스: 인피니티 워,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,"28,631,269,069","3,008,819",액션,12세관람가,일반영화
실미도,강우석,(주)시네마서비스,2003-12-24,장편,한국,0,0,11081000,0,"3,264,000",전쟁,15세관람가,일반영화
아바타: 물의 길,제임스 카메론,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,장편,미국,2809,137325939643,10779198,"35,339,578,744","2,612,163",액션,12세관람가,일반영화
