,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,출연,평점
0,아바타: 물의 길,제임스 카메론,월트디즈니스튜디오스코리아,2022-12-14,장편,미국,2809,137325939643,10779198,액션,12세관람가,일반영화,2022,12,겨울,112805094,"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']",8.65
1,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23,장편,미국,1843,88582586366,10494499,액션,12세관람가,일반영화,2015,4,봄,217299523,"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']",8.32
2,기생충,봉준호,씨제이이엔엠,2019-05-30,장편,한국,1948,87459829095,10313086,드라마,15세관람가,일반영화,2019,5,봄,226678777,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']",8.49
3,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16,장편,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화,2014,1,겨울,215068958,"['크리스틴 벨', '이디나 멘젤']",9.13
4,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06,장편,미국,1342,82274331200,10273803,SF,12세관람가,일반영화,2014,11,가을,215068958,"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']",9.12
5,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31,장편,미국,936,86280975785,9948386,드라마,12세관람가,일반영화,2018,10,가을,216385269,"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']",9.42
6,검사외전,이일형,쇼박스,2016-02-03,장편,한국,1812,77252755264,9699092,범죄,15세관람가,일반영화,2016,2,겨울,217026182,"['황정민', '강동원']",7.94
7,엑시트,이상근,씨제이이엔엠,2019-07-31,장편,한국,1660,79232212162,9426051,코미디,12세관람가,일반영화,2019,7,여름,226678777,"['조정석', '윤아']",8.31
8,관상,한재림,쇼박스,2013-09-11,장편,한국,1190,66005451500,9134586,사극,15세관람가,일반영화,2013,9,가을,213351030,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
9,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25,장편,미국,1381,70806191000,9001309,액션,12세관람가,일반영화,2013,4,봄,213351030,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']",8.86
