,순번,영화명,감독,배급사,개봉일
0,1,명량,김한민,(주)씨제이이엔엠,2014-07-30
1,2,극한직업,이병헌,(주)씨제이이엔엠,2019-01-23
2,3,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20
3,4,국제시장,윤제균,(주)씨제이이엔엠,2014-12-17
4,5,어벤져스: 엔드게임,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24
5,6,겨울왕국 2,제니퍼 리,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21
6,7,아바타,제임스 카메론,주식회사 해리슨앤컴퍼니,2009-12-17
7,8,베테랑,류승완,(주)씨제이이엔엠,2015-08-05
8,9,괴물,봉준호,(주)쇼박스,2006-07-27
9,10,도둑들,최동훈,(주)쇼박스,2012-07-25
10,11,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23
11,12,암살,최동훈,(주)쇼박스,2015-07-22
12,13,범죄도시2,이상용,주식회사 에이비오엔터테인먼트,2022-05-18
13,14,알라딘,가이 리치,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23
14,15,"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13
15,16,왕의 남자,이준익,(주)시네마서비스,2005-12-29
16,17,신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01
17,18,택시운전사,장훈,(주)쇼박스,2017-08-02
18,19,태극기 휘날리며,강제규,(주)다자인소프트,2004-02-05
19,20,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20
20,21,해운대,윤제균,(주)씨제이이엔엠,2009-07-22
21,22,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18
22,23,어벤져스: 인피니티 워,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25
23,24,실미도,강우석,(주)시네마서비스,2003-12-24
24,25,아바타: 물의 길,제임스 카메론,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14
25,26,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아 유한책임회사,2015-04-23
26,27,기생충,봉준호,(주)씨제이이엔엠,2019-05-30
27,28,겨울왕국,제니퍼 리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16
